Student summary,Attendance date,Course,Reason
FFFFFFFFFFF,10-17-22,Travel Literature,"Illness - All Day (LS, MS, US)"
FFFFFFFFFFFF,10-12-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
FFFFFFFFFFFF,10-12-22,Engineer Your World,"Illness - All Day (LS, MS, US)"
FFFFFFFFFFFF,9-21-22,French IV,"Other (LS, MS, US)"
FFFFFFFFFFFF,10-12-22,French IV,"Illness - All Day (LS, MS, US)"
G,10-13-22,Historical Inquiry,School Trip - HalfDay
GG,11-14-22,Biology,"Illness - All Day (LS, MS, US)"
GG,9-12-22,English 9,Sports  Dismissal- Half Class Period
GG,10-13-22,English 9,School Trip - HalfDay
GG,11-14-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
GG,11-14-22,Mandarin I,"Illness - All Day (LS, MS, US)"
GGG,10-05-22,Chemistry,"Religious Holiday (LS, MS, US)"
GGG,10-12-22,Chemistry,"Medical Appt. - All Day (MS, US)"
GGG,11-01-22,Chemistry,"Medical Appt. - AM (MS, US)"
GGG,9-22-22,English 10,"Medical Appt. - PM (MS, US)"
GGG,9-26-22,English 10,"Religious Holiday (LS, MS, US)"
GGG,9-16-22,French II,"Medical Appt. - AM (MS, US)"
GGG,9-26-22,French II,"Religious Holiday (LS, MS, US)"
GGG,10-06-22,French II,Sports Dismissal- Full Class Period
GGG,9-26-22,Geometry,"Religious Holiday (LS, MS, US)"
GGG,10-05-22,Health,"Religious Holiday (LS, MS, US)"
GGG,10-12-22,Health,"Medical Appt. - All Day (MS, US)"
GGG,10-26-22,Health,"Medical Appt. - AM (MS, US)"
GGG,11-07-22,Health,"Other (LS, MS, US)"
GGG,9-27-22,Metal Design,Absent
GGG,10-03-22,Metal Design,Sports Dismissal- Full Class Period
GGG,10-05-22,Metal Design,"Religious Holiday (LS, MS, US)"
GGG,10-12-22,Metal Design,"Medical Appt. - All Day (MS, US)"
GGGG,11-15-22,Let's Play!,School Trip - HalfDay
GGGGG,9-20-22,Chemistry,Sports  Dismissal- Half Class Period
GGGGG,10-11-22,Chemistry,"Illness - All Day (LS, MS, US)"
GGGGG,10-13-22,Chemistry,"Illness - All Day (LS, MS, US)"
GGGGG,10-11-22,Data Science I,"Illness - All Day (LS, MS, US)"
GGGGG,10-13-22,Data Science I,"Illness - All Day (LS, MS, US)"
GGGGG,10-11-22,English 10,"Illness - All Day (LS, MS, US)"
GGGGG,10-13-22,English 10,"Illness - All Day (LS, MS, US)"
GGGGG,10-12-22,Health,"Illness - All Day (LS, MS, US)"
GGGGG,9-09-22,Musical Theatre Ensemble,"Family Trip (LS, MS, US)"
GGGGG,10-12-22,Musical Theatre Ensemble,"Illness - All Day (LS, MS, US)"
GGGGG,11-01-22,Musical Theatre Ensemble,Commons Duty (US)
GGGGG,10-12-22,Spanish III,"Illness - All Day (LS, MS, US)"
GGGGGG,10-12-22,Electronica,"Other (LS, MS, US)"
GGGGGG,10-24-22,Electronica,"Other (LS, MS, US)"
GGGGGG,10-06-22,Marxism and Its Legacy,"Illness - All Day (LS, MS, US)"
GGGGGG,10-13-22,Marxism and Its Legacy,"Illness - Left Early (MS, US)"
GGGGGG,10-27-22,Marxism and Its Legacy,"Illness - Left Early (MS, US)"
GGGGGG,10-12-22,Musical Theatre Ensemble,"Other (LS, MS, US)"
GGGGGG,10-24-22,Musical Theatre Ensemble,"Family Trip (LS, MS, US)"
GGGGGG,9-12-22,Queer Voices,"Medical Appt. - AM (MS, US)"
GGGGGG,10-13-22,Queer Voices,"Illness - Left Early (MS, US)"
GGGGGG,10-27-22,Queer Voices,"Illness - Left Early (MS, US)"
GGGGGG,9-14-22,"Vertebrates: Origins, Designs & Threats","Medical Appt. - PM (MS, US)"
GGGGGG,10-06-22,"Vertebrates: Origins, Designs & Threats","Illness - All Day (LS, MS, US)"
GGGGGGG,9-12-22,Advanced Chemistry,"Illness - All Day (LS, MS, US)"
GGGGGGG,10-07-22,Ecological Literature,"Family Trip (LS, MS, US)"
GGGGGGG,10-12-22,Ecological Literature,"Other (LS, MS, US)"
GGGGGGG,9-12-22,Math Analysis,"Illness - All Day (LS, MS, US)"
GGGGGGG,9-20-22,Math Analysis,"Other (LS, MS, US)"
GGGGGGG,9-13-22,Spanish III,"Other (LS, MS, US)"
GGGGGGG,10-07-22,Spanish III,"Family Trip (LS, MS, US)"
GGGGGGG,10-12-22,Spanish III,"Other (LS, MS, US)"
GGGGGGG,10-17-22,Spanish III,"Medical Appt. - AM (MS, US)"
GGGGGGG,9-12-22,US History,"Illness - All Day (LS, MS, US)"
GGGGGGG,11-02-22,US History,"Medical Appt. - AM (MS, US)"
GGGGGGG,10-07-22,Wilderness First Aid,"Family Trip (LS, MS, US)"
GGGGGGGG,9-09-22,Advanced Biology,Sports  Dismissal- Half Class Period
GGGGGGGG,9-19-22,Advanced Biology,"Other (LS, MS, US)"
GGGGGGGG,10-13-22,Advanced Calculus,"Late Arrival (LS, MS, US)"
GGGGGGGG,9-09-22,French IV,School Trip - Full Day
GGGGGGGG,11-14-22,French IV,"Other (LS, MS, US)"
GGGGGGGG,9-09-22,Global Women's Issues,School Trip - Full Day
GGGGGGGG,11-03-22,Global Women's Issues,"Illness - All Day (LS, MS, US)"
GGGGGGGG,9-22-22,Physics with Calculus,"Late Arrival (LS, MS, US)"
GGGGGGGGG,9-20-22,French II,"Other (LS, MS, US)"
GGGGGGGGGG,9-12-22,Advanced Algebra,Sports  Dismissal- Half Class Period
GGGGGGGGGG,10-13-22,Spanish III,Sports  Dismissal- Half Class Period
GGGGGGGGGGG,9-22-22,Advanced Statistics,"Other (LS, MS, US)"
GGGGGGGGGGG,9-26-22,Advanced Statistics,"Other (LS, MS, US)"
GGGGGGGGGGG,9-22-22,Black Voices,"Other (LS, MS, US)"
GGGGGGGGGGG,9-26-22,Black Voices,"Other (LS, MS, US)"
GGGGGGGGGGG,9-23-22,Forensic Science,"Other (LS, MS, US)"
GGGGGGGGGGG,9-27-22,Forensic Science,"Other (LS, MS, US)"
GGGGGGGGGGG,9-23-22,Indigenous North American History,"Other (LS, MS, US)"
GGGGGGGGGGG,9-27-22,Indigenous North American History,"Other (LS, MS, US)"
GGGGGGGGGGG,9-23-22,Introduction to Psychology,"Other (LS, MS, US)"
GGGGGGGGGGG,9-27-22,Introduction to Psychology,"Other (LS, MS, US)"
GGGGGGGGGGG,9-29-22,Introduction to Psychology,"Other (LS, MS, US)"
GGGGGGGGGGGG,10-05-22,Advanced Algebra,"Religious Holiday (LS, MS, US)"
GGGGGGGGGGGG,9-26-22,Biology,"Religious Holiday (LS, MS, US)"
GGGGGGGGGGGG,10-13-22,Biology,"Illness - All Day (LS, MS, US)"
GGGGGGGGGGGG,10-05-22,Computer Programming in Java,"Religious Holiday (LS, MS, US)"
GGGGGGGGGGGG,9-26-22,English 9,"Religious Holiday (LS, MS, US)"
GGGGGGGGGGGG,10-13-22,English 9,"Illness - All Day (LS, MS, US)"
GGGGGGGGGGGG,9-26-22,Historical Inquiry,"Religious Holiday (LS, MS, US)"
GGGGGGGGGGGG,10-13-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
GGGGGGGGGGGG,9-23-22,Spanish II,"Medical Appt. - PM (MS, US)"
GGGGGGGGGGGG,10-05-22,Spanish II,"Religious Holiday (LS, MS, US)"
H,10-12-22,Computer Programming in Java,"Other (LS, MS, US)"
H,9-13-22,French IV,"Other (LS, MS, US)"
H,10-12-22,French IV,"Other (LS, MS, US)"
H,10-12-22,Travel Literature,"Other (LS, MS, US)"
H,10-17-22,Travel Literature,"Other (LS, MS, US)"
HH,9-09-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
HH,9-13-22,Advanced Calculus,"Other (LS, MS, US)"
HH,9-21-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
HH,9-27-22,Advanced Calculus,"Other (LS, MS, US)"
HH,10-12-22,Advanced Calculus,"Other (LS, MS, US)"
HH,11-07-22,Advanced Calculus,"Other (LS, MS, US)"
HH,11-09-22,Advanced Calculus,"Other (LS, MS, US)"
HH,11-14-22,Advanced Calculus,"Other (LS, MS, US)"
HH,9-12-22,French III,"Other (LS, MS, US)"
HH,11-04-22,French III,Absent
HH,11-08-22,French III,"Other (LS, MS, US)"
HH,11-10-22,French III,"Other (LS, MS, US)"
HH,9-09-22,Physics,"Illness - All Day (LS, MS, US)"
HH,9-13-22,Physics,"Other (LS, MS, US)"
HH,10-07-22,Physics,"Other (LS, MS, US)"
HH,10-12-22,Physics,"Other (LS, MS, US)"
HH,11-07-22,Physics,"Other (LS, MS, US)"
HH,11-09-22,Physics,"Other (LS, MS, US)"
HH,11-14-22,Physics,"Other (LS, MS, US)"
HH,9-12-22,US History,"Other (LS, MS, US)"
HH,9-22-22,US History,"Other (LS, MS, US)"
HH,11-08-22,US History,"Other (LS, MS, US)"
HH,11-10-22,US History,"Other (LS, MS, US)"
HH,9-07-22,Wilderness First Aid,"Medical Appt. - PM (MS, US)"
HH,9-09-22,Wilderness First Aid,"Illness - All Day (LS, MS, US)"
HH,9-13-22,Wilderness First Aid,"Other (LS, MS, US)"
HH,10-12-22,Wilderness First Aid,"Other (LS, MS, US)"
HH,11-03-22,Wilderness First Aid,"Illness - Left Early (MS, US)"
HH,11-07-22,Wilderness First Aid,"Other (LS, MS, US)"
HH,11-09-22,Wilderness First Aid,"Other (LS, MS, US)"
HHH,10-24-22,Biology,"Illness - All Day (LS, MS, US)"
HHH,10-25-22,English 9,"Medical Appt. - AM (MS, US)"
HHH,9-22-22,French I,"Other (LS, MS, US)"
HHH,10-24-22,Geometry,"Illness - All Day (LS, MS, US)"
HHH,10-24-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
HHHH,10-03-22,Algebra I,"Other (LS, MS, US)"
HHHH,10-05-22,Algebra I,Absent
HHHH,10-12-22,Algebra I,"Illness - All Day (LS, MS, US)"
HHHH,10-12-22,Chemistry,"Illness - All Day (LS, MS, US)"
HHHH,11-14-22,Chemistry,"Medical Appt. - AM (MS, US)"
HHHH,10-05-22,English 10,Absent
HHHH,10-12-22,English 10,"Illness - All Day (LS, MS, US)"
HHHH,9-30-22,Let's Play!,Absent
HHHH,10-04-22,Let's Play!,"Illness - All Day (LS, MS, US)"
HHHH,10-06-22,Let's Play!,"Illness - All Day (LS, MS, US)"
HHHH,10-11-22,Let's Play!,"Illness - All Day (LS, MS, US)"
HHHH,10-13-22,Let's Play!,"Illness - All Day (LS, MS, US)"
HHHH,11-15-22,Let's Play!,"Medical Appt. - AM (MS, US)"
HHHH,10-04-22,Spanish IV,"Illness - All Day (LS, MS, US)"
HHHH,10-06-22,Spanish IV,"Illness - All Day (LS, MS, US)"
HHHH,10-11-22,Spanish IV,"Illness - All Day (LS, MS, US)"
HHHH,10-13-22,Spanish IV,"Illness - All Day (LS, MS, US)"
HHHH,9-16-22,The American War in Vietnam,Sports  Dismissal- Half Class Period
HHHH,9-26-22,The American War in Vietnam,"Medical Appt. - PM (MS, US)"
HHHH,10-04-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
HHHH,10-06-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
HHHH,10-11-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
HHHH,10-13-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
HHHH,11-15-22,The American War in Vietnam,"Medical Appt. - PM (MS, US)"
HHHHH,10-27-22,Mandarin IV,"Illness - All Day (LS, MS, US)"
HHHHH,11-04-22,Mandarin IV,School Trip - Full Day
HHHHH,11-17-22,Mandarin IV,"Illness - All Day (LS, MS, US)"
HHHHH,9-23-22,Math Analysis,School Trip - Full Day
HHHHH,9-29-22,Math Analysis,"Illness - All Day (LS, MS, US)"
HHHHH,10-12-22,Math Analysis,Sports Dismissal- Full Class Period
HHHHH,10-28-22,Math Analysis,"Illness - All Day (LS, MS, US)"
HHHHH,9-23-22,Physics,School Trip - Full Day
HHHHH,9-29-22,Physics,"Illness - All Day (LS, MS, US)"
HHHHH,10-28-22,Physics,"Illness - All Day (LS, MS, US)"
HHHHH,9-23-22,The Graphic Novel,School Trip - Full Day
HHHHH,9-29-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
HHHHH,10-12-22,The Graphic Novel,"Other (LS, MS, US)"
HHHHH,10-28-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
HHHHH,10-06-22,US History,"Illness - All Day (LS, MS, US)"
HHHHH,10-27-22,US History,"Illness - All Day (LS, MS, US)"
HHHHH,11-04-22,US History,School Trip - Full Day
HHHHH,11-17-22,US History,"Illness - All Day (LS, MS, US)"
HHHHH,10-06-22,Yoga,"Illness - All Day (LS, MS, US)"
HHHHH,10-27-22,Yoga,"Illness - All Day (LS, MS, US)"
HHHHH,11-04-22,Yoga,School Trip - Full Day
HHHHH,11-17-22,Yoga,"Illness - All Day (LS, MS, US)"
HHHHHH,9-15-22,Astronomy,"Illness - All Day (LS, MS, US)"
HHHHHH,10-12-22,Astronomy,"Other (LS, MS, US)"
HHHHHH,10-26-22,Astronomy,"Illness - All Day (LS, MS, US)"
HHHHHH,11-14-22,Astronomy,"Other (LS, MS, US)"
HHHHHH,9-15-22,Electronica,"Illness - All Day (LS, MS, US)"
HHHHHH,10-12-22,Electronica,"Other (LS, MS, US)"
HHHHHH,10-26-22,Electronica,"Illness - All Day (LS, MS, US)"
HHHHHH,9-16-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
HHHHHH,9-15-22,Physics,"Illness - All Day (LS, MS, US)"
HHHHHH,10-05-22,Physics,"Medical Appt. - PM (MS, US)"
HHHHHH,10-12-22,Physics,"Other (LS, MS, US)"
HHHHHH,10-26-22,Physics,"Illness - All Day (LS, MS, US)"
HHHHHH,11-14-22,Physics,"Other (LS, MS, US)"
HHHHHH,9-16-22,Queer Voices,"Illness - All Day (LS, MS, US)"
HHHHHH,10-18-22,Queer Voices,"Medical Appt. - AM (MS, US)"
HHHHHH,9-16-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHH,10-18-22,US History,"Medical Appt. - AM (MS, US)"
HHHHHH,10-25-22,US History,"Medical Appt. - PM (MS, US)"
HHHHHHH,9-28-22,Acrylic Painting,Sports Dismissal- Full Class Period
HHHHHHH,10-06-22,Acrylic Painting,Sports Dismissal- Full Class Period
HHHHHHH,9-21-22,Creative Writing: Poetry,Sports Dismissal- Full Class Period
HHHHHHH,10-12-22,Creative Writing: Poetry,"Other (LS, MS, US)"
HHHHHHH,10-03-22,Engineer Your World,Sports Dismissal- Full Class Period
HHHHHHH,10-12-22,Engineer Your World,"Other (LS, MS, US)"
HHHHHHH,10-12-22,US History,"Other (LS, MS, US)"
HHHHHHHH,10-12-22,Anatomy and Physiology,"Illness - All Day (LS, MS, US)"
HHHHHHHH,9-19-22,Creative Writing: Poetry,"Other (LS, MS, US)"
HHHHHHHH,9-23-22,Creative Writing: Poetry,"Medical Appt. - AM (MS, US)"
HHHHHHHH,10-12-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
HHHHHHHH,10-24-22,Creative Writing: Poetry,"Illness - Left Early (MS, US)"
HHHHHHHH,10-11-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
HHHHHHHH,10-13-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
HHHHHHHH,10-11-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHHHH,10-13-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHHHH,10-12-22,Wilderness First Aid,"Illness - All Day (LS, MS, US)"
HHHHHHHHH,9-23-22,Advanced Calculus,School Trip - Full Day
HHHHHHHHH,10-05-22,Advanced Calculus,"Other (LS, MS, US)"
HHHHHHHHH,10-12-22,Advanced Calculus,"Other (LS, MS, US)"
HHHHHHHHH,9-28-22,Data Science I,"Illness - All Day (LS, MS, US)"
HHHHHHHHH,11-04-22,Data Science I,School Trip - Full Day
HHHHHHHHH,9-21-22,French IV,"Other (LS, MS, US)"
HHHHHHHHH,9-23-22,French IV,School Trip - Full Day
HHHHHHHHH,10-12-22,French IV,"Other (LS, MS, US)"
HHHHHHHHH,9-28-22,Physics with Calculus,"Illness - All Day (LS, MS, US)"
HHHHHHHHH,11-04-22,Physics with Calculus,School Trip - Full Day
HHHHHHHHH,9-23-22,Travel Literature,School Trip - Full Day
HHHHHHHHH,9-29-22,Travel Literature,"Other (LS, MS, US)"
HHHHHHHHH,10-12-22,Travel Literature,"Other (LS, MS, US)"
HHHHHHHHH,10-17-22,Travel Literature,"Other (LS, MS, US)"
HHHHHHHHH,9-28-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHHHHH,11-04-22,US History,School Trip - Full Day
HHHHHHHHHH,10-12-22,Astronomy,School Trip - Full Day
HHHHHHHHHH,10-24-22,Astronomy,"Family Trip (LS, MS, US)"
HHHHHHHHHH,11-07-22,Astronomy,"Illness - All Day (LS, MS, US)"
HHHHHHHHHH,11-14-22,Astronomy,"Illness - All Day (LS, MS, US)"
HHHHHHHHHH,10-13-22,Climbing and Mindfulness,School Trip - Full Day
HHHHHHHHHH,10-25-22,Climbing and Mindfulness,"Late Arrival (LS, MS, US)"
HHHHHHHHHH,11-10-22,Climbing and Mindfulness,School Trip - Full Day
HHHHHHHHHH,10-12-22,Creative Writing: Poetry,School Trip - Full Day
HHHHHHHHHH,10-24-22,Creative Writing: Poetry,"Family Trip (LS, MS, US)"
HHHHHHHHHH,11-07-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
HHHHHHHHHH,11-14-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
HHHHHHHHHH,9-22-22,Math Analysis,School Trip - Full Day
HHHHHHHHHH,10-13-22,Math Analysis,School Trip - Full Day
HHHHHHHHHH,11-04-22,Math Analysis,"Other (LS, MS, US)"
HHHHHHHHHH,11-10-22,Math Analysis,School Trip - Full Day
HHHHHHHHHH,9-22-22,Queer Voices,School Trip - Full Day
HHHHHHHHHH,10-13-22,Queer Voices,School Trip - Full Day
HHHHHHHHHH,11-10-22,Queer Voices,School Trip - Full Day
HHHHHHHHHH,10-12-22,US History,School Trip - Full Day
HHHHHHHHHH,10-24-22,US History,"Family Trip (LS, MS, US)"
HHHHHHHHHH,11-07-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHHHHHH,11-14-22,US History,"Illness - All Day (LS, MS, US)"
HHHHHHHHHHH,9-16-22,Backpacking,School Trip - Full Day
HHHHHHHHHHH,11-15-22,Backpacking,"Medical Appt. - PM (MS, US)"
HHHHHHHHHHH,11-17-22,Backpacking,"Illness - All Day (LS, MS, US)"
HHHHHHHHHHH,9-16-22,Chemistry,School Trip - Full Day
HHHHHHHHHHH,11-15-22,Chemistry,School Trip - HalfDay
HHHHHHHHHHH,11-17-22,Chemistry,"Illness - All Day (LS, MS, US)"
HHHHHHHHHHH,9-16-22,Civics: Understanding Our Rights,School Trip - Full Day
HHHHHHHHHHH,11-17-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
HHHHHHHHHHH,9-15-22,English 10,School Trip - Full Day
HHHHHHHHHHH,10-07-22,English 10,School Trip - Full Day
HHHHHHHHHHH,11-03-22,English 10,"Medical Appt. - All Day (MS, US)"
HHHHHHHHHHH,9-15-22,Introductory Calculus,School Trip - Full Day
HHHHHHHHHHH,10-07-22,Introductory Calculus,School Trip - Full Day
HHHHHHHHHHH,11-03-22,Introductory Calculus,"Medical Appt. - All Day (MS, US)"
HHHHHHHHHHH,9-15-22,Mandarin II,School Trip - Full Day
HHHHHHHHHHH,9-29-22,Mandarin II,"Medical Appt. - AM (MS, US)"
HHHHHHHHHHH,10-07-22,Mandarin II,School Trip - Full Day
HHHHHHHHHHH,11-03-22,Mandarin II,"Medical Appt. - All Day (MS, US)"
HHHHHHHHHHHH,9-20-22,Advanced Biology,"Family Trip (LS, MS, US)"
HHHHHHHHHHHH,10-06-22,Advanced Biology,"Medical Appt. - AM (MS, US)"
HHHHHHHHHHHH,9-23-22,Black and White Photography,College Visit-Off Campus (US)
HHHHHHHHHHHH,10-12-22,Black and White Photography,"Other (LS, MS, US)"
HHHHHHHHHHHH,10-28-22,Black and White Photography,Sports Dismissal- Full Class Period
HHHHHHHHHHHH,9-13-22,Math Analysis,Sports Dismissal- Full Class Period
HHHHHHHHHHHH,9-23-22,Math Analysis,College Visit-Off Campus (US)
HHHHHHHHHHHH,9-27-22,Math Analysis,"Other (LS, MS, US)"
HHHHHHHHHHHH,10-12-22,Math Analysis,"Other (LS, MS, US)"
HHHHHHHHHHHH,11-01-22,Math Analysis,Sports  Dismissal- Half Class Period
HHHHHHHHHHHH,11-03-22,Math Analysis,"Medical Appt. - AM (MS, US)"
HHHHHHHHHHHH,9-19-22,Spanish IV,"Medical Appt. - AM (MS, US)"
HHHHHHHHHHHH,9-23-22,Spanish IV,College Visit-Off Campus (US)
HHHHHHHHHHHH,9-20-22,US History,Sports Dismissal- Full Class Period
HHHHHHHHHHHH,9-28-22,US History,Sports Dismissal- Full Class Period
I,9-20-22,Advanced Chemistry,"Other (LS, MS, US)"
I,10-03-22,Anatomy and Physiology,"Other (LS, MS, US)"
I,10-12-22,Anatomy and Physiology,"Other (LS, MS, US)"
I,9-21-22,Creative Writing: Poetry,Sports Dismissal- Full Class Period
I,10-12-22,Creative Writing: Poetry,"Other (LS, MS, US)"
I,10-03-22,Spanish IV,Sports Dismissal- Full Class Period
I,9-28-22,US History,Sports Dismissal- Full Class Period
II,9-21-22,Computer Programming in Java,"Other (LS, MS, US)"
II,10-07-22,Computer Programming in Java,"Illness - All Day (LS, MS, US)"
II,11-01-22,Computer Programming in Java,"Illness - All Day (LS, MS, US)"
II,11-03-22,Computer Programming in Java,"Other (LS, MS, US)"
II,11-09-22,Computer Programming in Java,"Illness - All Day (LS, MS, US)"
II,11-14-22,Computer Programming in Java,"Illness - All Day (LS, MS, US)"
II,9-16-22,Multivariable Calculus,Absent
II,10-31-22,Multivariable Calculus,"Illness - All Day (LS, MS, US)"
II,11-10-22,Multivariable Calculus,"Illness - All Day (LS, MS, US)"
II,10-31-22,Satire,"Illness - All Day (LS, MS, US)"
II,11-10-22,Satire,"Illness - All Day (LS, MS, US)"
II,9-21-22,Spanish: Advanced Studies,"Other (LS, MS, US)"
II,10-07-22,Spanish: Advanced Studies,"Illness - All Day (LS, MS, US)"
II,11-01-22,Spanish: Advanced Studies,"Illness - All Day (LS, MS, US)"
II,11-09-22,Spanish: Advanced Studies,"Illness - All Day (LS, MS, US)"
II,11-14-22,Spanish: Advanced Studies,"Illness - All Day (LS, MS, US)"
II,9-20-22,The American War in Vietnam,"Other (LS, MS, US)"
II,10-18-22,The American War in Vietnam,Absent
II,10-31-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
II,11-10-22,The American War in Vietnam,"Illness - All Day (LS, MS, US)"
III,10-31-22,Chemistry,"Family Trip (LS, MS, US)"
III,9-23-22,Cultural Ethics,School Trip - Full Day
III,10-17-22,Cultural Ethics,"Illness - All Day (LS, MS, US)"
III,11-18-22,Cultural Ethics,"Family Trip (LS, MS, US)"
III,9-23-22,English 10,School Trip - Full Day
III,10-17-22,English 10,"Illness - All Day (LS, MS, US)"
III,11-18-22,English 10,"Family Trip (LS, MS, US)"
III,10-31-22,Health,"Family Trip (LS, MS, US)"
III,9-23-22,Math Analysis,School Trip - Full Day
III,10-17-22,Math Analysis,"Illness - All Day (LS, MS, US)"
III,11-01-22,Math Analysis,"Family Trip (LS, MS, US)"
III,11-18-22,Math Analysis,"Family Trip (LS, MS, US)"
III,10-31-22,Spanish III,"Family Trip (LS, MS, US)"
IIII,11-04-22,Chemistry,School Trip - Full Day
IIII,9-23-22,Computer Art,School Trip - Full Day
IIII,9-23-22,English 10,School Trip - Full Day
IIII,9-23-22,French III,School Trip - Full Day
IIII,11-04-22,Marxism and Its Legacy,School Trip - Full Day
IIII,10-13-22,Math Analysis,Commons Duty (US)
IIII,11-04-22,Math Analysis,School Trip - Full Day
IIIII,9-26-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
IIIII,9-28-22,Acrylic Painting,"Other (LS, MS, US)"
IIIII,11-08-22,Acrylic Painting,"Illness - All Day (LS, MS, US)"
IIIII,9-27-22,Anatomy and Physiology,"Other (LS, MS, US)"
IIIII,9-29-22,Anatomy and Physiology,"Other (LS, MS, US)"
IIIII,10-12-22,Anatomy and Physiology,"Illness - All Day (LS, MS, US)"
IIIII,11-09-22,Anatomy and Physiology,"Illness - All Day (LS, MS, US)"
IIIII,9-27-22,Math Analysis,"Other (LS, MS, US)"
IIIII,9-29-22,Math Analysis,"Other (LS, MS, US)"
IIIII,10-12-22,Math Analysis,"Illness - All Day (LS, MS, US)"
IIIII,11-09-22,Math Analysis,"Illness - All Day (LS, MS, US)"
IIIII,9-26-22,Spanish III,"Illness - All Day (LS, MS, US)"
IIIII,9-28-22,Spanish III,"Other (LS, MS, US)"
IIIII,9-30-22,Spanish III,"Illness - Left Early (MS, US)"
IIIII,11-08-22,Spanish III,"Illness - All Day (LS, MS, US)"
IIIII,9-27-22,The Graphic Novel,"Other (LS, MS, US)"
IIIII,10-12-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
IIIII,11-09-22,The Graphic Novel,"Illness - All Day (LS, MS, US)"
IIIII,9-26-22,US History,"Illness - All Day (LS, MS, US)"
IIIII,9-28-22,US History,"Other (LS, MS, US)"
IIIII,9-30-22,US History,"Illness - Left Early (MS, US)"
IIIII,11-08-22,US History,"Illness - All Day (LS, MS, US)"
IIIIII,9-20-22,Advanced Chemistry,"Other (LS, MS, US)"
IIIIII,10-03-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
IIIIII,11-16-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
IIIIII,10-03-22,Physics,"Illness - All Day (LS, MS, US)"
IIIIII,10-12-22,Physics,"Other (LS, MS, US)"
IIIIII,11-16-22,Physics,"Illness - All Day (LS, MS, US)"
IIIIII,9-19-22,US History,"Other (LS, MS, US)"
IIIIII,10-03-22,US History,"Illness - All Day (LS, MS, US)"
IIIIII,10-12-22,US History,"Other (LS, MS, US)"
IIIIII,11-16-22,US History,"Illness - All Day (LS, MS, US)"
IIIIIII,9-26-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
IIIIIII,10-13-22,Advanced Biology,"Medical Appt. - PM (MS, US)"
IIIIIII,10-31-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
IIIIIII,9-26-22,Black Voices,"Illness - All Day (LS, MS, US)"
IIIIIII,10-31-22,Black Voices,"Illness - All Day (LS, MS, US)"
IIIIIII,9-09-22,French IV,"Medical Appt. - All Day (MS, US)"
IIIIIII,9-21-22,French IV,"Medical Appt. - All Day (MS, US)"
IIIIIII,11-01-22,French IV,"Late Arrival (LS, MS, US)"
IIIIIII,11-14-22,French IV,"Illness - All Day (LS, MS, US)"
IIIIIII,9-09-22,Introductory Calculus,"Medical Appt. - All Day (MS, US)"
IIIIIII,9-21-22,Introductory Calculus,"Medical Appt. - All Day (MS, US)"
IIIIIII,11-14-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
IIIIIII,9-09-22,Yoga,"Medical Appt. - All Day (MS, US)"
IIIIIII,9-21-22,Yoga,"Medical Appt. - All Day (MS, US)"
IIIIIII,10-05-22,Yoga,"Other (LS, MS, US)"
IIIIIII,11-14-22,Yoga,"Illness - All Day (LS, MS, US)"
IIIIIIII,9-20-22,Advanced Biology,"Other (LS, MS, US)"
IIIIIIII,9-22-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
IIIIIIII,9-30-22,Advanced Biology,"Other (LS, MS, US)"
IIIIIIII,10-11-22,Advanced Biology,"Other (LS, MS, US)"
